date,time,gas,raw_selected_lag_s,raw_row_lag,applied_lag_s,applied_row_lag,hdi_low_s,hdi_high_s,hdi_range_s,reliability_class,best_combination,edge_pinned,fallback_used,fallback_source,donor_gas,effective_min_lag_s,effective_max_lag_s,effective_block_length_s,block_length_clamped,raw_covariance
2025-06-01,10:30,co2,   16.1000,     161,   16.1000,     161,   -3.5000,   16.2000,   19.7000,fallback,tc,F,T,maxcov_default,,   -5.0000,   25.0000,   50.0000,F,     -0.405424
2025-06-01,10:30,h2o,   16.8000,     168,   17.1000,     171,   13.7000,   17.7000,    4.0000,fallback,ct,F,T,maxcov_default,,   -5.0000,   25.0000,   50.0000,F,      0.143122
2025-06-01,10:30,gas4,   14.5000,     145,   19.2000,     192,   -0.3000,   24.5000,   24.8000,fallback,ct,F,T,maxcov_default,,   -5.0000,   25.0000,   50.0000,F,     -0.000001
2025-06-01,11:00,co2,   16.2000,     162,   16.2000,     162,   16.1000,   16.3000,    0.2000,S1_optimal,ct,F,F,native,,   -5.0000,   25.0000,   50.0000,F,     -0.000341
2025-06-01,11:00,h2o,   16.9000,     169,   16.9000,     169,   16.8000,   17.0000,    0.2000,S1_optimal,ct,F,F,native,,   -5.0000,   25.0000,   50.0000,F,      0.000024
2025-06-01,11:00,gas4,    1.7000,      17,   16.2000,     162,   -2.3000,   20.7000,   23.0000,S4_instrument_shared,ct,F,F,instrument_shared,co2,   -5.0000,   25.0000,   50.0000,F,      0.000000
2025-06-01,11:30,co2,   16.2000,     162,   16.2000,     162,   -0.3000,   16.3000,   16.6000,S2_optimal,tc,F,F,native,,   -5.0000,   25.0000,   50.0000,F,     -0.517338
2025-06-01,11:30,h2o,   16.9000,     169,   16.9000,     169,   16.8000,   17.1000,    0.3000,S1_optimal,ct,F,F,native,,   -5.0000,   25.0000,   50.0000,F,      0.110036
2025-06-01,11:30,gas4,    0.1000,       1,   16.2000,     162,   -5.0000,   20.0000,   25.0000,S4_instrument_shared,tc,F,F,instrument_shared,co2,   -5.0000,   25.0000,   50.0000,F,      0.000001
2025-06-01,12:00,co2,   16.1000,     161,   16.1000,     161,   16.1000,   16.2000,    0.1000,S1_optimal,ct,F,F,native,,   -5.0000,   25.0000,   50.0000,F,      0.000100
2025-06-01,12:00,h2o,   16.7000,     167,   16.7000,     167,   16.6000,   16.7000,    0.1000,S1_optimal,ct,F,F,native,,   -5.0000,   25.0000,   50.0000,F,     -0.000118
2025-06-01,12:00,gas4,   -2.2000,     -22,   16.1000,     161,   -5.0000,   21.9000,   26.9000,S4_instrument_shared,ct,F,F,instrument_shared,co2,   -5.0000,   25.0000,   50.0000,F,     -0.000000
