date,time,gas,raw_selected_lag_s,raw_row_lag,applied_lag_s,applied_row_lag,hdi_low_s,hdi_high_s,hdi_range_s,reliability_class,best_combination,edge_pinned,fallback_used,fallback_source,donor_gas,effective_min_lag_s,effective_max_lag_s,effective_block_length_s,block_length_clamped,raw_covariance
2025-06-01,12:30,co2,   16.2000,     162,   16.2000,     162,   -0.3000,   16.3000,   16.6000,S2_optimal,tc,F,F,native,,   -5.0000,   25.0000,   50.0000,F,     -0.000276
2025-06-01,12:30,h2o,   16.8000,     168,   16.8000,     168,   -1.8000,   16.8000,   18.6000,S2_optimal,ct,F,F,native,,   -5.0000,   25.0000,   50.0000,F,      0.000140
2025-06-01,12:30,gas4,   17.9000,     179,   17.9000,     179,   -5.0000,   23.9000,   28.9000,S2_optimal,ct,F,F,native,,   -5.0000,   25.0000,   50.0000,F,     -0.000000
2025-06-01,13:00,co2,   16.1000,     161,   16.1000,     161,   16.0000,   16.1000,    0.1000,S1_optimal,ct,F,F,native,,   -5.0000,   25.0000,   50.0000,F,     -0.002019
2025-06-01,13:00,h2o,   16.6000,     166,   16.6000,     166,   16.5000,   16.6000,    0.1000,S1_optimal,ct,F,F,native,,   -5.0000,   25.0000,   50.0000,F,      0.000153
2025-06-01,13:00,gas4,   -3.0000,     -30,   16.1000,     161,   -3.9000,   15.9000,   19.8000,S4_instrument_shared,ct,F,F,instrument_shared,co2,   -5.0000,   25.0000,   50.0000,F,      0.000000
2025-06-01,13:30,co2,   16.0000,     160,   16.0000,     160,    0.4000,   16.2000,   15.8000,S2_optimal,tc,F,F,native,,   -5.0000,   25.0000,   50.0000,F,     -0.301516
2025-06-01,13:30,h2o,   16.5000,     165,   16.5000,     165,   -0.8000,   16.6000,   17.4000,S2_optimal,ct,F,F,native,,   -5.0000,   25.0000,   50.0000,F,      0.072363
2025-06-01,13:30,gas4,    0.3000,       3,   16.0000,     160,   -4.0000,   21.4000,   25.4000,S4_instrument_shared,ct,F,F,instrument_shared,co2,   -5.0000,   25.0000,   50.0000,F,     -0.000001
2025-06-01,14:00,co2,   16.0000,     160,   16.0000,     160,   15.9000,   16.1000,    0.2000,S1_optimal,ct,F,F,native,,   -5.0000,   25.0000,   50.0000,F,     -0.475241
2025-06-01,14:00,h2o,   16.4000,     164,   16.4000,     164,   16.3000,   16.5000,    0.2000,S1_optimal,ct,F,F,native,,   -5.0000,   25.0000,   50.0000,F,     -0.000051
2025-06-01,14:00,gas4,    4.5000,      45,   16.0000,     160,    0.7000,   24.7000,   24.0000,S4_instrument_shared,ct,F,F,instrument_shared,co2,   -5.0000,   25.0000,   50.0000,F,     -0.000001
2025-06-01,14:30,co2,   16.0000,     160,   16.0000,     160,   -1.7000,   16.3000,   18.0000,S2_optimal,tc,F,F,native,,   -5.0000,   25.0000,   50.0000,F,     -0.333584
2025-06-01,14:30,h2o,   16.5000,     165,   16.5000,     165,   16.4000,   16.7000,    0.3000,S1_optimal,tc,F,F,native,,   -5.0000,   25.0000,   50.0000,F,      0.077496
2025-06-01,14:30,gas4,    3.5000,      35,   16.0000,     160,   -3.5000,   24.7000,   28.2000,S4_instrument_shared,cw,F,F,instrument_shared,co2,   -5.0000,   25.0000,   50.0000,F,      0.000002
2025-06-01,15:00,co2,   16.0000,     160,   16.0000,     160,   16.0000,   16.1000,    0.1000,S1_optimal,ct,F,F,native,,   -5.0000,   25.0000,   50.0000,F,     -0.001630
2025-06-01,15:00,h2o,   16.5000,     165,   16.5000,     165,   16.4000,   16.6000,    0.2000,S1_optimal,ct,F,F,native,,   -5.0000,   25.0000,   50.0000,F,      0.000471
2025-06-01,15:00,gas4,    0.5000,       5,   16.0000,     160,   -2.4000,   24.4000,   26.8000,S4_instrument_shared,cw,F,F,instrument_shared,co2,   -5.0000,   25.0000,   50.0000,F,     -0.000000
